id,appearance_argmax,adult_male_margin,headwear_margin,adult_male,adult_woman,child,headwear,bare_head,preprocess_encode_seconds
000,adult_male,0.059724166989326505,-0.016528556744257628,0.25517551104227704,0.1942237267891566,0.19545134405295053,0.23546487092971802,0.25199342767397565,0.34192999999504536
001,adult_woman,-0.06838752826054889,-0.021846860647201566,0.18514414131641388,0.25353166957696277,0.21027385691801706,0.23214362064997354,0.2539904812971751,0.03372129192575812
002,child,-0.04939288397630057,-0.0046789099772771015,0.19288010398546854,0.24135554333527884,0.2422729879617691,0.2500101874272029,0.25468909740448,0.03569433302618563
003,adult_woman,-0.06501950820287067,-0.007649173339207949,0.18328781922658285,0.24830732742945352,0.21192865073680878,0.238457461198171,0.24610663453737894,0.036944541963748634
004,adult_male,0.0059127708276113244,-0.010046948989232363,0.25939364234606427,0.23042316238085428,0.25348087151845294,0.2564764122168223,0.2665233612060547,0.04043733305297792
005,adult_male,0.03478597104549408,-0.008761743704477964,0.27315929532051086,0.23837332427501678,0.2314066837231318,0.2613103985786438,0.27007214228312176,0.040044041932560503
006,adult_woman,-0.05823338528474173,-0.001353134711583437,0.17554372549057007,0.2337771107753118,0.19312635560830435,0.22290570040543875,0.2242588351170222,0.04549416701775044
007,adult_woman,-0.05652414262294772,-0.020952557524045318,0.19917369882265726,0.255697841445605,0.22629693150520325,0.2398242006699244,0.2607767581939697,0.033522749901749194
008,child,-0.05297297736008963,0.024472420414288848,0.225134347875913,0.21947275598843893,0.2781073252360026,0.26989445090293884,0.24542203048865,0.03540825005620718
009,adult_male,0.04907590647538504,-0.020663201808929443,0.23535970350106558,0.18628379702568054,0.16829913854599,0.20640304684638977,0.2270662486553192,0.03854337509255856
010,adult_woman,-0.04551649590333304,-0.005884562929471315,0.19725163280963898,0.24276812871297201,0.23790239791075388,0.24218488236268362,0.24806944529215494,0.04928912501782179
011,adult_woman,-0.05050256848335266,-0.0064123173554738455,0.18614550431569418,0.23664807279904684,0.22450185815493265,0.24114705622196198,0.24755937357743582,0.053879208979196846
012,adult_woman,-0.05338222285111746,-0.029634758830070496,0.16756815711657205,0.22095037996768951,0.18201985458532968,0.1984334538380305,0.22806821266810098,0.06276816606987268
013,adult_woman,-0.060827871163686126,-0.006697416305541992,0.20460655291875204,0.26543442408243817,0.22558925052483877,0.2516437570254008,0.2583411733309428,0.03386629093438387
014,adult_woman,-0.04277440905570984,-0.03351801633834839,0.1800637592871984,0.22283816834290823,0.17978541056315103,0.1918672819932302,0.22538529833157858,0.04978991695679724
015,adult_woman,-0.05530122915903726,-0.007189944386482239,0.20224089423815408,0.25754212339719135,0.2251838097969691,0.2501905560493469,0.25738050043582916,0.0563820410752669
016,adult_male,0.03338654836018881,-0.011570950349171966,0.2682755986849467,0.2348890503247579,0.2002355456352234,0.24824889500935873,0.2598198453585307,0.04343874996993691
017,adult_male,0.03592270612716675,-0.0037847807010014944,0.23640902837117514,0.17959319551785788,0.2004863222440084,0.22754846016565958,0.23133324086666107,0.05091866594739258
018,adult_woman,-0.054968501130739866,-0.02102952202161154,0.1487077275911967,0.20367622872193655,0.19206044574578604,0.20366932451725006,0.2246988465388616,0.07161350001115352
019,child,-0.07513320446014407,-0.011669079462687193,0.19258246819178262,0.21990709006786346,0.2677156726519267,0.23049777249495187,0.24216685195763907,0.050793707952834666
020,adult_woman,-0.06821366151173908,-0.0043301731348038,0.1893213391304016,0.2575350006421407,0.2079674998919169,0.24620680014292398,0.2505369732777278,0.05135049996897578
021,adult_male,0.04737897713979086,0.0025535325209299353,0.2529238164424896,0.19907431801160178,0.20554483930269876,0.2615972657998403,0.25904373327891034,0.05499299999792129
022,adult_woman,-0.06858452161153158,-0.020264590779940278,0.2176006535689036,0.2861851751804352,0.23228574792544046,0.2485602249701818,0.26882481575012207,0.04449487500824034
023,adult_male,0.016209880510965974,0.025188550353050232,0.2375698188940684,0.20664003988107046,0.22135993838310242,0.27598575750986737,0.25079720715681714,0.032079166965559125
024,adult_male,0.05746215581893924,-0.01554952561855319,0.2545904616514842,0.1957226941982905,0.19712830583254495,0.23959978918234506,0.25514931480089825,0.04946845804806799
025,adult_male,0.051635334889094026,-0.0339989016453425,0.2481066236893336,0.19647128880023956,0.18376319110393524,0.20283445715904236,0.23683335880438486,0.06112266599666327
026,child,-0.07406968375047049,0.001360307137171446,0.1935595174630483,0.2317697008450826,0.2676292012135188,0.2536124090353648,0.25225210189819336,0.04464116599410772
027,adult_woman,-0.06327825287977853,0.01965012152989709,0.18810302515824637,0.2513812780380249,0.22202877700328827,0.2797440091768901,0.260093887646993,0.06365233310498297
028,adult_male,0.06196480989456177,-0.002851416667302459,0.2519263029098511,0.18117094536622366,0.1899614930152893,0.2361213117837906,0.23897272845109305,0.051606541965156794
029,adult_woman,-0.04411133627096811,-0.013115018606185913,0.1960194706916809,0.24013080696264902,0.186748668551445,0.2074670990308126,0.2205821176369985,0.05603912507649511
030,adult_male,0.03627893825372058,-0.018960336844126402,0.25701939066251117,0.19961648186047873,0.2207404524087906,0.2557181417942047,0.2746784786383311,0.0604485000949353
031,adult_woman,-0.045378923416137695,0.009521131714185088,0.19351746141910553,0.23889638483524323,0.20713463425636292,0.2479568769534429,0.2384357452392578,0.04522550001274794
